CMDLINE python main.py
MEM 0.156250 1776031850.9574
MEM 31.968750 1776031851.0623
MEM 46.140625 1776031851.1656
MEM 69.312500 1776031851.2689
MEM 104.093750 1776031851.3730
MEM 109.250000 1776031851.4786
MEM 110.203125 1776031851.5838
MEM 110.140625 1776031851.6889
MEM 110.140625 1776031851.7940
MEM 110.109375 1776031851.8994
MEM 110.750000 1776031852.0031
MEM 112.296875 1776031852.1065
MEM 101.828125 1776031852.2079
MEM 89.265625 1776031852.3116
MEM 91.421875 1776031852.4174
MEM 91.406250 1776031852.5214
MEM 91.406250 1776031852.6267
MEM 91.406250 1776031852.7303
MEM 91.406250 1776031852.8355
MEM 91.281250 1776031852.9373
MEM 91.125000 1776031853.0391
MEM 91.125000 1776031853.1444
MEM 91.125000 1776031853.2467
MEM 91.125000 1776031853.3476
MEM 91.125000 1776031853.4529
MEM 91.125000 1776031853.5583
MEM 91.125000 1776031853.6617
MEM 91.125000 1776031853.7624
MEM 91.125000 1776031853.8679
MEM 91.140625 1776031853.9726
MEM 91.140625 1776031854.0733
MEM 91.140625 1776031854.1780
MEM 91.140625 1776031854.2826
MEM 91.140625 1776031854.3881
MEM 91.171875 1776031854.4899
MEM 91.171875 1776031854.5956
MEM 91.171875 1776031854.7009
MEM 91.171875 1776031854.8037
MEM 91.171875 1776031854.9069
MEM 91.343750 1776031855.0085
MEM 91.343750 1776031855.1139
MEM 91.343750 1776031855.2153
MEM 91.343750 1776031855.3171
MEM 91.343750 1776031855.4211
MEM 91.343750 1776031855.5254
MEM 91.343750 1776031855.6298
MEM 91.343750 1776031855.7325
MEM 91.343750 1776031855.8358
MEM 91.343750 1776031855.9409
MEM 97.250000 1776031856.0458
MEM 97.265625 1776031856.1516
MEM 97.328125 1776031856.2574
MEM 97.375000 1776031856.3588
MEM 97.375000 1776031856.4625
MEM 97.375000 1776031856.5656
MEM 97.359375 1776031856.6697
MEM 97.359375 1776031856.7712
MEM 97.359375 1776031856.8752
MEM 97.359375 1776031856.9791
MEM 97.359375 1776031857.0818
MEM 97.359375 1776031857.1827
MEM 97.359375 1776031857.2842
MEM 97.359375 1776031857.3870
MEM 97.359375 1776031857.4924
MEM 97.359375 1776031857.5963
MEM 97.359375 1776031857.7016
MEM 97.359375 1776031857.8072
MEM 97.359375 1776031857.9124
MEM 97.359375 1776031858.0164
MEM 97.359375 1776031858.1217
MEM 97.359375 1776031858.2242
MEM 97.359375 1776031858.3280
MEM 97.359375 1776031858.4292
MEM 97.359375 1776031858.5346
MEM 97.359375 1776031858.6398
MEM 97.359375 1776031858.7450
MEM 97.359375 1776031858.8505
MEM 97.359375 1776031858.9527
MEM 97.359375 1776031859.0539
MEM 97.359375 1776031859.1557
MEM 97.359375 1776031859.2610
MEM 97.359375 1776031859.3631
MEM 97.359375 1776031859.4674
MEM 97.359375 1776031859.5705
MEM 97.359375 1776031859.6720
MEM 97.359375 1776031859.7772
MEM 97.359375 1776031859.8816
MEM 97.359375 1776031859.9870
MEM 97.359375 1776031860.0910
MEM 97.359375 1776031860.1965
MEM 97.359375 1776031860.3020
MEM 97.359375 1776031860.4045
MEM 97.359375 1776031860.5087
MEM 97.359375 1776031860.6116
MEM 97.359375 1776031860.7171
MEM 97.359375 1776031860.8200
MEM 97.359375 1776031860.9213
MEM 97.359375 1776031861.0267
MEM 97.359375 1776031861.1304
MEM 97.359375 1776031861.2358
MEM 97.484375 1776031861.3412
MEM 97.484375 1776031861.4421
MEM 97.484375 1776031861.5459
MEM 97.484375 1776031861.6492
MEM 97.484375 1776031861.7532
MEM 97.484375 1776031861.8597
MEM 97.484375 1776031861.9632
MEM 97.484375 1776031862.0686
MEM 97.484375 1776031862.1708
MEM 97.484375 1776031862.2718
MEM 97.578125 1776031862.3729
MEM 97.578125 1776031862.4784
MEM 97.578125 1776031862.5833
MEM 97.578125 1776031862.7090
MEM 97.578125 1776031862.8143
MEM 97.578125 1776031862.9198
MEM 97.578125 1776031863.0232
MEM 97.578125 1776031863.1240
MEM 97.578125 1776031863.2294
MEM 97.578125 1776031863.3338
MEM 97.578125 1776031863.4362
MEM 97.578125 1776031863.5415
MEM 97.578125 1776031863.6455
MEM 97.578125 1776031863.7508
MEM 97.578125 1776031863.8520
MEM 97.578125 1776031863.9573
MEM 97.578125 1776031864.0620
MEM 97.578125 1776031864.1643
MEM 97.578125 1776031864.2698
MEM 97.578125 1776031864.3701
MEM 97.578125 1776031864.4736
MEM 97.578125 1776031864.5783
MEM 97.578125 1776031864.6834
MEM 97.578125 1776031864.7882
MEM 97.578125 1776031864.8892
MEM 97.593750 1776031864.9941
MEM 97.593750 1776031865.0970
MEM 97.593750 1776031865.1990
MEM 97.593750 1776031865.3031
MEM 97.593750 1776031865.4050
MEM 97.625000 1776031865.5068
MEM 97.625000 1776031865.6126
MEM 97.625000 1776031865.7161
MEM 97.625000 1776031865.8175
MEM 97.625000 1776031865.9203
MEM 97.734375 1776031866.0257
MEM 97.734375 1776031866.1282
MEM 97.734375 1776031866.2294
MEM 97.734375 1776031866.3349
MEM 97.734375 1776031866.4396
MEM 97.734375 1776031866.5450
MEM 97.734375 1776031866.6497
MEM 97.734375 1776031866.7538
MEM 97.734375 1776031866.8577
MEM 97.734375 1776031866.9625
MEM 97.734375 1776031867.0655
MEM 97.734375 1776031867.1706
MEM 97.734375 1776031867.2717
MEM 97.734375 1776031867.3737
MEM 97.734375 1776031867.4783
MEM 97.734375 1776031867.5829
MEM 97.734375 1776031867.6866
MEM 97.734375 1776031867.7903
MEM 97.734375 1776031867.8957
MEM 97.734375 1776031868.0039
MEM 97.734375 1776031868.1093
MEM 97.734375 1776031868.2147
MEM 97.734375 1776031868.3189
MEM 97.734375 1776031868.4244
MEM 97.734375 1776031868.5253
MEM 97.734375 1776031868.6281
MEM 97.734375 1776031868.7284
MEM 97.734375 1776031868.8334
MEM 97.734375 1776031868.9364
MEM 97.734375 1776031869.0417
MEM 97.734375 1776031869.1454
MEM 97.734375 1776031869.2491
MEM 97.734375 1776031869.3544
MEM 97.734375 1776031869.4571
MEM 97.734375 1776031869.5623
MEM 97.734375 1776031869.6674
MEM 97.734375 1776031869.7708
MEM 97.734375 1776031869.8735
MEM 97.734375 1776031869.9745
MEM 97.734375 1776031870.0783
MEM 97.734375 1776031870.1793
MEM 97.734375 1776031870.2825
MEM 97.734375 1776031870.3872
MEM 97.734375 1776031870.4923
MEM 97.734375 1776031870.5978
MEM 97.734375 1776031870.7032
MEM 97.734375 1776031870.8042
MEM 97.734375 1776031870.9096
MEM 97.734375 1776031871.0125
MEM 97.734375 1776031871.1163
MEM 97.734375 1776031871.2200
MEM 97.718750 1776031871.3255
MEM 97.718750 1776031871.4292
MEM 97.718750 1776031871.5346
MEM 97.671875 1776031871.6363
MEM 97.671875 1776031871.7379
MEM 97.671875 1776031871.8395
MEM 97.671875 1776031871.9453
MEM 97.671875 1776031872.0462
MEM 97.671875 1776031872.1523
MEM 97.671875 1776031872.2574
MEM 97.671875 1776031872.3629
MEM 97.671875 1776031872.4683
MEM 97.671875 1776031872.5712
MEM 97.671875 1776031872.6731
MEM 97.671875 1776031872.7786
MEM 97.671875 1776031872.8841
MEM 97.671875 1776031872.9891
MEM 97.671875 1776031873.0946
MEM 97.671875 1776031873.1970
MEM 97.671875 1776031873.3001
MEM 97.671875 1776031873.4054
MEM 97.671875 1776031873.5074
MEM 97.671875 1776031873.6092
MEM 97.671875 1776031873.7098
MEM 97.671875 1776031873.8154
MEM 97.671875 1776031873.9199
MEM 97.671875 1776031874.0254
MEM 97.671875 1776031874.1285
MEM 97.671875 1776031874.2358
MEM 97.671875 1776031874.3413
MEM 97.671875 1776031874.4462
MEM 97.671875 1776031874.5515
MEM 97.671875 1776031874.6569
MEM 97.671875 1776031874.7625
MEM 97.671875 1776031874.8657
MEM 97.671875 1776031874.9710
MEM 97.671875 1776031875.0765
MEM 97.671875 1776031875.1823
MEM 97.671875 1776031875.2874
MEM 97.671875 1776031875.3928
MEM 97.671875 1776031875.4960
MEM 97.671875 1776031875.6011
MEM 97.671875 1776031875.7026
MEM 97.671875 1776031875.8070
MEM 97.671875 1776031875.9125
MEM 97.843750 1776031876.0131
MEM 97.843750 1776031876.1151
MEM 97.843750 1776031876.2206
MEM 97.843750 1776031876.3232
MEM 97.843750 1776031876.4287
MEM 97.843750 1776031876.5291
MEM 97.843750 1776031876.6328
MEM 97.843750 1776031876.7383
MEM 97.843750 1776031876.8416
MEM 97.843750 1776031876.9427
MEM 97.843750 1776031877.0451
MEM 97.843750 1776031877.1483
MEM 97.843750 1776031877.2505
MEM 97.843750 1776031877.3546
MEM 97.843750 1776031877.4602
MEM 97.843750 1776031877.5656
MEM 97.843750 1776031877.6683
MEM 97.843750 1776031877.7724
MEM 97.843750 1776031877.8779
MEM 97.843750 1776031877.9794
MEM 97.843750 1776031878.0849
MEM 97.843750 1776031878.1856
MEM 97.843750 1776031878.2911
MEM 97.843750 1776031878.3926
MEM 97.843750 1776031878.4959
MEM 97.843750 1776031878.5994
MEM 97.843750 1776031878.7049
MEM 97.843750 1776031878.8105
MEM 97.843750 1776031878.9148
MEM 97.843750 1776031879.0203
MEM 97.843750 1776031879.1257
MEM 97.843750 1776031879.2283
MEM 97.843750 1776031879.3328
MEM 97.843750 1776031879.4382
MEM 97.843750 1776031879.5401
MEM 97.843750 1776031879.6448
MEM 97.843750 1776031879.7503
MEM 97.843750 1776031879.8536
MEM 97.843750 1776031879.9591
MEM 97.843750 1776031880.0625
MEM 97.843750 1776031880.1650
MEM 97.843750 1776031880.2705
MEM 97.843750 1776031880.3724
MEM 97.828125 1776031880.4760
MEM 97.421875 1776031880.5783
MEM 97.421875 1776031880.6800
MEM 97.421875 1776031880.7837
MEM 97.421875 1776031880.8864
MEM 97.421875 1776031880.9918
MEM 97.421875 1776031881.0960
MEM 97.421875 1776031881.1966
MEM 97.421875 1776031881.3021
MEM 97.421875 1776031881.4067
MEM 97.421875 1776031881.5074
MEM 97.375000 1776031881.6127
MEM 97.375000 1776031881.7166
MEM 97.375000 1776031881.8219
MEM 97.375000 1776031881.9273
MEM 97.375000 1776031882.0302
MEM 97.375000 1776031882.1331
MEM 97.375000 1776031882.2385
MEM 97.375000 1776031882.3423
MEM 97.375000 1776031882.4481
MEM 97.375000 1776031882.5534
MEM 97.375000 1776031882.6575
MEM 97.375000 1776031882.7624
MEM 97.375000 1776031882.8666
MEM 97.375000 1776031882.9717
MEM 97.375000 1776031883.0893
MEM 97.375000 1776031883.1908
MEM 97.375000 1776031883.2952
MEM 97.375000 1776031883.4005
